before wait	after wait
12211	1.29655e+06
12648	1.28726e+06
13034	1.27883e+06
12834	1.29139e+06
13231	1.27321e+06
12889	1.28591e+06
13048	1.28539e+06
9522	1.24024e+06
12937	1.27014e+06
12539	1.27854e+06
12854	1.27621e+06
12694	1.28726e+06
12871	1.29087e+06
12646	1.27126e+06
12754	1.26726e+06
12713	1.27175e+06
12876	1.29235e+06
12151	1.26673e+06
11763	1.28408e+06
12320	1.29688e+06
11808	1.28741e+06
12140	1.29626e+06
12923	1.29165e+06
13168	1.27982e+06
12911	1.28249e+06
13434	1.27883e+06
9820	1.23792e+06
12965	1.27385e+06
13594	1.27399e+06
12789	1.28612e+06
12719	1.27767e+06
12760	1.26816e+06
12714	1.27798e+06
13039	1.2562e+06
12614	1.26546e+06
12554	1.28796e+06
13082	1.26367e+06
12620	1.28539e+06
12968	1.2935e+06
12751	1.29251e+06
13203	1.27104e+06
12906	1.27548e+06
13288	1.25947e+06
9838	1.22545e+06
12837	1.26345e+06
12482	1.28369e+06
12968	1.26804e+06
12548	1.26151e+06
13000	1.27341e+06
12816	1.26958e+06
13006	1.26157e+06
12625	1.26064e+06
12780	1.28485e+06
13154	1.28618e+06
12800	1.28431e+06
13120	1.27141e+06
11814	1.27302e+06
12189	1.26088e+06
12014	1.27344e+06
12406	1.26086e+06
12082	1.28444e+06
12288	1.27007e+06
9468	1.22488e+06
12037	1.27263e+06
11777	1.26444e+06
11991	1.27558e+06
11788	1.2709e+06
11914	1.27443e+06
11982	1.27021e+06
11963	1.26582e+06
11966	1.2686e+06
12865	1.27748e+06
13269	1.27334e+06
12934	1.28398e+06
12214	1.26211e+06
11042	1.26571e+06
11269	1.26187e+06
11131	1.27087e+06
11477	1.26625e+06
11203	1.26841e+06
12417	1.2634e+06
8665	1.22443e+06
11960	1.25734e+06
11863	1.26736e+06
11985	1.27028e+06
13223	1.2714e+06
11923	1.27122e+06
11611	1.26905e+06
11960	1.26625e+06
13397	1.26128e+06
11845	1.2561e+06
12222	1.2686e+06
11811	1.29116e+06
12205	1.26982e+06
11839	1.28973e+06
13071	1.26669e+06
12925	1.29565e+06
12217	1.26901e+06
11000	1.27113e+06
11243	1.25987e+06
