elapsed_after_write_registered_nsec	elapsed_after_write_completed_nsec	elapsed_after_fsync_registered_nsec	elapsed_after_fsync_completed_nsec	non_blocking_time_nsec
5518	39235	44923	922979	10842
5785	47881	55303	891937	12767
5845	54407	61809	925028	12844
4371	31681	36481	882030	8950
4179	53735	60157	904529	10307
5760	33752	39285	1650056	10953
5796	61656	69236	947443	12924
4411	34054	39141	839604	9281
5819	39755	45410	847501	11131
4427	32238	37037	817969	8996
4168	37247	42018	943236	8721
5732	33018	38571	797086	10954
4252	40152	44877	940408	8747
5668	34262	39766	810576	10833
5807	39721	45263	2053565	10989
5796	55118	62753	960317	12960
5655	40591	46492	881561	11190
5558	33710	39329	806850	10783
5567	38900	44558	892435	10881
5648	32702	38392	885793	10986
5840	41266	46841	892919	11069
5796	33649	39098	924676	10909
5799	39459	44933	2069900	10913
5750	57676	65083	1116178	12707
7869	52111	59570	963264	14888
5847	33804	39480	803367	11138
5626	39869	45604	894686	11011
5596	34966	40768	809451	11022
5589	39730	45311	962748	10823
5838	33793	39380	900223	11082
5714	39090	44566	2101149	10838
5659	56681	64301	1093536	12800
5832	62994	70412	1103393	12782
5886	54247	61739	1033774	12939
7543	54494	62068	973569	14682
5760	34216	40046	812731	11241
5651	39686	45324	883376	10921
5763	33239	38871	919259	11022
5667	41513	47311	2065009	11124
5589	53645	61290	1037814	12787
5554	65088	72975	1016870	12980
19003	60470	68564	989324	26611
5658	40134	45916	879315	11073
5562	33418	39039	808535	10827
5735	39193	44915	923523	11059
5830	33195	38999	2005065	11272
4326	39684	44823	906130	9221
5800	33923	39683	942020	11187
5619	39943	45762	854930	11076
4297	33252	38296	809675	9124
5659	39482	45227	860381	11019
5796	33976	39639	858266	11135
5736	39121	44593	831997	10860
5764	24580	30022	785109	10864
3829	28843	33668	2233148	8427
5767	33614	39336	970339	11146
4267	29877	34778	909978	8950
5793	27053	32879	788300	11247
5800	29268	35001	921848	11174
5996	33500	39320	799903	11450
5691	30951	36696	899922	11079
6377	35215	40862	817405	11677
5707	39637	45235	927187	10962
5739	33454	39050	847777	10996
5962	39243	44772	960238	11143
5960	33237	38808	1032776	11183
5747	41098	46645	894758	10958
5809	33763	39346	1024645	11061
5954	40557	46144	908768	11206
5780	33143	38821	1346153	11098
5867	41746	47475	963683	11223
5855	47812	55229	888744	12819
5817	39494	45096	916476	11046
5832	32887	38494	801794	11121
3825	31331	36173	980814	8425
5668	33340	38938	1254998	10910
5615	31953	37807	1795929	11107
5626	34530	40239	843402	10957
5830	31934	37755	918225	11272
5771	33425	39158	819694	11143
5736	32457	38293	889042	11210
5676	35315	41038	832505	11009
5643	39319	44899	1072441	10874
5691	33380	39258	1130502	11214
5552	60216	67716	959259	12594
5589	35184	40961	2457087	11011
7455	52727	60204	929475	14492
5671	33794	39416	805901	10935
5556	41201	47324	852594	11327
5759	34242	40052	809125	11226
5745	39633	45343	1044507	11078
5780	33269	38955	811171	11079
5763	38524	44016	933386	10879
6043	35039	40654	809395	11319
5583	39012	44578	1006198	10776
5739	33692	39214	2033462	10918
18942	65948	73706	980219	26202
5683	33643	39370	815516	11035
5844	39968	45696	998342	11214
5827	33298	38978	889716	11157
5651	41548	47450	945104	11168
5746	34281	40010	811507	11106
5781	40275	45877	885156	11029
5563	32778	38286	2082807	10726
18562	66118	74320	1008232	26308
5608	34298	40104	953578	11050
5558	39511	45175	958035	10851
5552	35294	41271	956677	11186
5697	40147	45877	941836	11075
5764	33756	39468	810800	11116
5711	39047	44833	900355	11126
5809	33180	38748	2155272	11042
7877	54441	62118	1111041	15109
5960	34268	39891	962144	11234
7630	63371	72853	1107973	16525
5888	35094	40744	811771	11175
5627	39514	45936	874143	11687
5680	33595	39408	857079	11133
5691	31195	36902	1993741	11061
18751	57467	65157	927303	25980
5707	39700	45441	905683	11063
5914	33797	39507	892798	11270
5661	41766	47859	1023159	11384
5844	34477	40222	813434	11217
5573	39497	45232	919508	10964
5728	33081	38670	860861	10968
10093	95594	103609	2175807	17543
7598	43844	51429	1073719	14695
7346	51013	58513	917410	14370
7843	49166	57336	890655	15464
8268	55570	63617	1132781	15811
8318	46693	54618	929687	15718
8144	59902	67730	957090	15471
7696	49017	57228	1043327	15399
7927	55833	63873	1976588	15496
8038	46573	54618	889081	15577
8821	59723	67730	971917	16326
7924	47535	55488	874993	15306
7930	54415	62243	999233	15266
7964	46570	54457	892313	15347
7675	54166	62192	873443	15173
6606	50242	57510	1337279	13563
8963	58987	67784	1765069	17153
8514	49630	58278	896649	16616
5797	47918	55361	920231	12865
8522	37139	45653	832160	16500
8357	43319	51876	1048666	16373
8449	36642	45159	869902	16440
8274	61010	69329	1001748	16076
8449	49282	57719	2056831	16337
8817	76533	85649	1159659	17358
8400	52230	61022	897079	16586
8565	59244	68078	939754	16888
8411	49441	57921	911139	16337
6528	56535	63952	1079709	13625
8468	51598	60147	899328	16471
8725	59301	67895	1114267	16777
8666	49727	58224	1925190	16617
9191	61918	71172	1016001	17839
8891	50753	59401	901350	17004
8622	58329	66863	958275	16616
8645	49675	58415	947707	16836
9297	62101	71127	998601	17812
8437	50081	58724	947746	16517
8426	58324	66856	2181919	16380
10189	63021	73021	911332	19616
8431	59958	68467	1095751	16382
8491	50922	59513	907797	16545
8431	59852	68538	935830	16568
8426	53384	62070	1084872	16543
8671	60621	69269	971701	16776
8343	50810	59604	1413812	16608
8483	60004	68684	1732263	16590
8926	53127	61870	905351	17051
8600	59581	68255	1053107	16689
8665	50892	59344	909345	16560
8520	62401	71210	978249	16757
8920	51136	59844	939216	17067
8645	59369	67972	1018503	16725
8674	49782	58367	2227828	16699
10283	72861	83071	1104498	19810
8948	51187	59758	899505	16965
8768	59978	68587	1028455	16854
8820	52530	61147	898619	16853
8743	58336	67050	990663	16895
8446	49930	58578	899094	16563
8489	57859	66241	2158874	16311
8546	54079	63038	1019294	16894
8685	60212	69655	965522	17568
8394	50378	58858	892888	16363
8148	61955	70835	1131093	16419
8368	51215	59664	930967	16280
8505	60301	68918	1084355	16580
8308	50299	58958	2156470	16407
10053	73502	83825	1047757	19746
8366	51630	60333	900471	16534
8374	61116	69761	960421	16473
6308	48924	56498	1006199	13531
8868	58309	67052	957532	17025
8700	49568	58310	1022234	16896
8451	57992	66458	998971	16388
6740	50887	58427	1934539	13906
8754	59804	68330	969427	16717
8726	51242	59858	868567	16808
6037	61298	68744	979138	13140
8391	52230	60964	887040	16603
8469	59373	68024	971818	16551
8388	50819	59753	1066202	16796
8591	64090	72804	1601002	16765
8754	51652	60384	992298	16952
8774	59727	68387	977875	16874
10546	53827	62350	1122220	18517
9943	68344	78334	1197079	19319
8583	49888	58513	916086	16656
8740	58484	67067	960841	16800
8360	52805	61356	1621899	16422
8620	59524	68113	969878	16717
8320	49690	58196	908500	16289
8354	57927	66493	903006	16366
6471	49504	56775	886197	13385
8608	59549	68198	962289	16737
8897	51176	59639	918920	16845
6494	55452	62709	959925	13371
9479	53821	62555	898909	17707
8548	58778	67078	1580612	16343
10423	59815	70031	1143897	20013
9166	63013	72101	1104120	17711
8840	50910	59950	891055	17325
8671	58306	66760	968315	16570
8854	49905	58510	941916	16925
8657	96909	108185	1106077	19221
8596	68581	78604	1036087	18024
8674	58621	67132	963738	16649
8605	49581	58084	1647909	16571
6303	81125	89899	990412	14687
8280	50715	59215	862363	16243
8502	47530	55981	921282	16388
8740	37347	45967	886190	16811
8691	62658	71407	992549	16908
8780	51387	60064	899200	16879
8794	59352	67978	2238648	16906
10583	61455	71462	1206873	19986
8671	59450	67861	1016344	16563
8602	50021	58558	880300	16622
8537	58575	67143	951784	16554
6357	50810	57984	885044	13216
8540	60727	69507	952425	16765
8296	51001	59592	1324541	16347
6634	56670	63918	1916985	13537
11133	62882	73168	1034011	20815
8508	59424	68149	941878	16679
8363	39102	47773	881058	16506
6531	43499	51010	902737	13651
8549	36765	45408	866290	16646
9151	42733	51212	923976	17085
8779	48987	57461	2182375	16742
10280	72564	82664	1296016	19743
10430	60125	70338	925841	19999
8754	64564	73232	1008712	16882
8994	52907	61461	893527	17014
8568	60047	68701	1022236	16659
8880	51190	59835	894548	16980
8977	58872	67658	2082987	17188
8679	40710	49221	923749	16673
8523	59650	68181	1026042	16529
8545	51113	59724	904387	16597
8402	60492	68981	911052	16343
6556	46852	54315	869309	13691
8302	58275	66706	950935	16187
8637	49835	58452	872319	16677
8488	61927	70264	2112995	16334
8811	51199	59784	907735	16828
8720	60804	69561	990329	16903
9006	56264	65104	895341	17280
9391	64069	73429	941332	18146
9165	55218	64684	894781	18088
7014	60787	68804	879672	14639
5945	36770	44070	827540	12911
9680	49756	58727	2077552	18066
9308	38384	47384	848630	17776
9371	46253	55556	993705	18059
9569	56450	65730	896985	18286
9437	64547	73853	954244	18154
10402	55612	65112	902000	19307
9045	63115	72469	914869	17817
7360	53836	62658	1016281	15833
9171	64672	73712	1997542	17651
9485	55821	65124	909216	18179
9171	66916	76512	1081715	18184
9160	55778	65198	901300	18011
9300	64227	73509	956935	17974
9080	53793	63081	881072	17843
9813	72875	82788	1015291	19109
10053	59218	68978	2070040	19250
9863	69112	79031	1033421	19156
9937	60559	70152	934474	18953
9763	67412	77385	1141648	19103
10286	58408	68204	922220	19473
11160	69235	79481	977825	20746
9806	60831	71998	921490	20310
9760	68712	78898	1111782	19276
9630	57955	67995	1884923	19049
9540	72595	82798	1007435	19156
9686	59091	69104	1076355	19069
10043	69475	79738	990241	19663
9913	58168	68221	892884	19317
9760	72275	82278	1004521	19153
10150	59585	69518	922700	19452
10043	69851	79911	2137312	19446
9769	61135	71048	947442	19050
9977	67992	77942	1001052	19297
10073	58252	68238	1068476	19456
10300	68355	78241	951443	19483
10226	61991	72101	921367	19712
10090	69562	79755	970169	19623
9853	58242	68205	1433129	19143
10097	68315	78315	1635710	19464
9789	62098	72171	925479	19209
9683	69241	79094	994931	18890
