write_duration_nsec	flush_duration_nsec
889751	3256374
870185	3408549
866982	3142754
875838	3332369
884828	3249077
875485	3332998
881725	3337172
889624	3337321
874398	3318845
874318	3251211
896641	3091619
880999	3336512
838120	3198906
896651	3602871
904738	3195816
881948	3275144
875785	3453115
811049	3228216
811162	3122596
811442	3624851
878562	3298676
895001	3617243
900174	3291186
871996	3261901
891581	3697755
870522	3134651
867079	3126141
841916	3242634
892365	3256717
872899	3329479
875622	3280393
884801	4362462
882815	3223399
882042	3289557
882008	3626007
879488	3345028
881161	3830184
874169	3327339
907781	3222321
908114	3332798
876321	3181202
879335	3192909
820599	3059510
779515	3099832
839576	3070646
810402	3647394
874398	3277843
880361	3316412
868335	3264227
885349	3169750
865819	3655480
891855	3283170
913928	3254441
877075	3372595
882228	3264597
877428	3589031
881512	3271424
872259	3253548
883694	3207548
910068	3318679
882725	3534249
873262	3295080
876818	3086339
883328	3382084
874078	3160013
900841	3586361
895618	3206625
882862	3162130
881322	3357638
874865	3233398
882642	3418203
881908	3635243
867875	3142717
895421	3274824
878372	3128308
875205	3430116
878895	3156644
814386	3346953
815171	3192247
847093	3281760
904517	3548452
887242	3148098
881098	3332332
879178	3382970
881458	3212485
871048	3592861
878258	3274840
892248	3258021
879895	3212999
873028	3134004
869558	3473754
842060	3217625
879148	3162936
900344	3425589
898978	3264987
881592	3666562
879652	3243835
882352	3198189
881542	4260006
880731	3357314
877108	3248711
875538	3352174
888882	3678312
905631	3354468
871308	3316052
884428	3390123
872482	3341495
827657	3387275
779507	2933660
819108	3226220
873358	3622933
881952	3313426
882422	3645463
876729	3334056
878735	3224442
878669	3392740
883172	3240435
893331	3430612
898128	3354604
880298	3405287
888405	3284153
871565	3289150
871468	3084759
844013	3354941
888308	3314519
904381	3523820
881715	3896976
891071	3387374
884402	3268281
882612	3359825
878932	3595188
880778	3286560
885148	3812201
877361	3240197
907641	3205335
898118	3350478
873878	3179393
877055	3597644
876921	3170913
847496	3231645
878315	3291610
891158	3133914
870212	3711851
878389	3250122
874779	3219722
878945	3454859
878195	3231342
879415	3617368
897288	3259727
896507	3230341
885802	3381424
881275	3272634
876751	3296906
873702	3651019
882252	3227355
882345	3348635
888591	3095468
866962	3379517
875105	3657862
891372	3358302
876485	3079645
878582	3757684
901188	3183190
879015	3287170
894741	3283787
879888	3413456
893694	3371570
879332	3425236
881668	3265867
881405	3340598
879548	3176403
889635	3307880
875939	3363664
882669	3233708
882678	3360011
875028	3306519
899585	3098296
875105	3418296
893268	3317339
879148	3454502
882395	3249661
878255	3299000
884495	3368168
880002	3176400
882832	3335602
897708	3300920
872471	3287136
890122	3392517
879385	3232228
892902	3399297
884795	3282973
883252	3312956
893521	3295220
886464	3371381
881415	3293826
885552	3362068
880628	3244691
881069	3397397
885984	3219998
899171	3290479
870335	3247904
878708	3332255
871815	3315012
889681	3324845
843376	3293683
888821	3314295
895268	3263268
888392	3435956
881909	3381811
882415	3343398
886578	3360518
876742	3327219
