elapsed_after_write_registered_nsec	elapsed_after_write_completed_nsec	elapsed_after_fsync_registered_nsec	elapsed_after_fsync_completed_nsec	non_blocking_time_nsec
12966	60472	70948	2147572	22766
12899	64121	74481	1093885	22625
13073	60029	70318	946263	22719
13063	60258	70438	1061002	22610
13240	60268	70618	904084	22959
12766	49675	60078	1035326	22537
12926	72628	82967	1004964	22605
13029	60621	70968	1073489	22722
13146	60448	70651	2236619	22702
13076	63592	73968	1085519	22792
13139	61981	72344	953556	22842
13073	61261	71481	1038963	22636
13070	63211	73684	1066969	22883
12993	60851	71508	1068046	22983
13003	61265	71691	959952	22776
12926	60015	70041	1472118	22225
13089	63911	74288	1718634	22789
12986	61478	71824	1078325	22659
13060	64318	74558	971422	22663
12972	60178	70454	1062379	22562
13100	60549	70792	956033	22703
13073	60332	70612	993845	22713
12830	63345	73928	976015	22700
13093	63052	73355	1091149	22740
14136	63105	73461	969872	23822
13106	60208	70441	1033334	22702
12977	63832	74128	2254559	22629
13067	61409	71672	1131175	22670
13056	61128	71364	970752	22626
12963	63245	73618	1098911	22696
13073	60885	71235	953072	22793
13110	60718	71021	1093912	22759
13149	60241	70471	1016124	22759
13053	63831	74334	2220546	22859
13037	61222	71592	973376	22753
12940	75058	85851	1082869	23046
13090	62462	72818	954853	22806
13210	61025	71168	1060930	22716
13163	70771	81057	988708	22812
13370	65372	75681	1151087	23036
13016	61061	71308	1568488	22623
13080	61642	72178	1071723	22979
13143	60011	70034	980841	22523
13016	63451	73724	1058463	22636
12919	61321	71671	1003124	22645
12967	60569	70985	1054940	22740
13093	78671	89294	978165	23083
13090	63669	74122	1821005	22873
13033	60732	71142	1062653	22783
13053	60431	70648	1108671	22634
13049	62708	73068	1064876	22729
13007	60829	70992	1059930	22536
12953	61772	72255	954536	22802
13410	64842	75948	1062430	23876
13170	61265	71511	953249	22779
13133	60392	70835	1618547	22936
13179	59858	69948	973292	22630
13047	63732	73898	1040830	22530
13053	61595	71882	949173	22673
12930	60192	70655	1036877	22723
13230	60595	70785	948043	22776
13003	62802	73132	1057656	22680
13109	61481	71841	970692	22809
13037	60935	70965	1931945	22423
12979	64435	74631	974455	22535
13020	61665	72302	1073306	22997
13043	61405	71852	954466	22826
13036	60485	70891	1094298	22772
13083	64405	74795	963449	22800
13070	62349	72575	1101385	22620
13083	71378	81624	2153378	22666
13077	63455	73888	1075810	22843
12973	61085	71502	968273	22713
13119	61511	71904	1069886	22852
13406	62981	73324	968015	23099
13086	60365	70568	1043427	22649
13063	59912	69952	1010905	22473
13063	60775	71041	2164818	22686
13033	63685	74055	979785	22720
13009	47538	57532	997861	22416
12939	47222	57301	881334	22368
12947	47586	57559	1058483	22334
13066	60341	70681	946103	22759
13179	60471	70581	1084798	22653
13083	60515	70695	2294247	22633
13033	63625	74014	1185632	22766
13083	61451	71951	964012	22923
13116	60595	70955	1023957	22809
13033	63865	74114	953416	22596
14120	62585	72928	1024974	23786
13079	48445	58445	910590	22490
13013	46722	56385	1023367	22093
13060	63542	73941	950479	22809
13053	59985	69882	1028671	22327
13133	60075	69935	986739	22389
13093	60115	69828	1080426	22192
13020	63482	73748	1055590	22620
12973	61325	71675	1149757	22663
13003	60865	71242	949446	22723
13183	59398	69338	1016637	22514
12980	63308	73755	958103	22766
12996	61144	71011	2152754	22206
12947	77701	88241	1064646	22833
13133	60602	70681	1110121	22566
13173	60485	70735	950966	22779
13086	60508	70905	954599	22839
12853	63748	74125	2242149	22583
12980	61422	71728	1114255	22620
13063	61828	72308	1071529	22879
13013	63989	74355	1097455	22713
12976	61822	72305	964949	22803
12963	61419	71722	1065026	22600
13120	60445	70805	987175	22830
13103	63488	73914	2375998	22852
14150	62802	73288	978302	23959
13376	65622	75905	1128088	22999
14063	61471	71864	974182	23802
13169	61628	71781	1039730	22689
13106	61338	71494	893324	22629
12800	63372	73738	1093589	22479
12986	60962	71391	949380	22749
13049	60328	70534	1706514	22588
13130	59698	69601	1207965	22369
13010	63652	73942	1635010	22623
13123	60869	71032	959026	22620
13053	60972	71352	1079203	22766
12969	63584	74014	962199	22742
14170	62625	73141	1052040	24009
14183	62362	72865	953576	24009
12963	60222	70565	1061146	22640
13153	63691	74881	919506	23670
12976	47488	57348	1755489	22249
12959	55071	65368	963069	22579
12923	64095	74562	1096516	22730
13036	70194	80411	1022524	22600
13190	60482	70628	1085716	22703
13216	60748	70831	1003045	22648
12980	63529	73902	1095769	22680
12990	61255	71778	1010011	22856
12953	60332	70678	2202137	22629
13000	64325	74738	993711	22743
13049	60695	70968	1097718	22662
13073	61165	71495	984945	22743
13339	63411	73761	1096505	23073
13143	60422	70708	959339	22782
13053	60188	70418	1074135	22650
13160	60382	70631	963582	22773
12843	63601	74091	2316749	22680
13003	60321	70808	1139477	22830
13050	60042	70351	1111945	22703
12946	63621	74054	973365	22699
13013	61148	71531	1075986	22726
13046	61042	71541	966842	22888
13076	60265	70645	1117731	22799
13030	63575	73861	2217763	22633
13127	61575	71835	1036181	22726
13006	64118	74371	960372	22626
12953	60382	70682	1064890	22586
13117	60552	70785	945363	22723
13166	60645	70705	985158	22593
12836	64055	74181	961946	22352
12989	61968	72421	2212330	22782
13103	60675	70985	1170556	22750
13033	63541	73948	1110188	22786
13076	62335	72775	971762	22859
12967	61339	71732	1084522	22690
13033	70545	80871	998892	22699
13070	63528	73885	1107722	22773
13090	61792	72245	991705	22876
13089	61448	71931	2122019	22912
13100	62119	72508	1033037	22862
13129	60488	70774	1043670	22785
13116	60565	70635	949969	22556
13087	77172	87808	1072903	23030
12949	63371	73741	971335	22642
12996	61258	71638	1025517	22709
12993	46432	56378	1584468	22352
12986	64211	74491	1794431	22599
13023	60868	71251	986038	22746
13019	61281	71774	1081665	22855
13016	63995	74498	956936	22853
13050	61942	72212	1079199	22650
13076	61424	71761	956442	22753
13000	60415	70595	2288888	22510
12970	64225	74698	1086159	22777
13007	62425	72758	1064846	22680
13023	76478	87067	970109	22952
12983	62428	72835	1049090	22723
13080	60515	70741	951519	22666
13079	60385	70494	1014050	22539
13080	76158	86968	1033067	23183
12993	63538	74024	2142741	22819
13099	61081	71254	1005974	22605
13016	62601	73034	1092635	22803
13113	60249	70418	955423	22639
13146	60515	70871	1062473	22875
13076	60492	70775	886481	22719
12763	63258	73637	1104561	22486
12959	72718	83064	1597974	22649
13063	59865	70071	1745026	22599
12963	63492	73792	965463	22590
12957	61552	71922	1093142	22660
12966	61112	71571	953173	22759
12976	60345	70751	1107898	22716
13069	63878	74251	975188	22776
13019	61948	72358	1090118	22772
13047	61459	71805	947173	22723
13203	60431	70641	1146813	22766
13043	62535	72938	1109458	22796
13050	61462	71835	1058680	22760
12969	61281	71621	947802	22645
13199	63601	73764	1076535	22695
12989	61425	71738	1997346	22636
13019	60831	71168	1139310	22720
12973	62422	72668	1012765	22599
13093	60678	70765	1125031	22559
13250	60462	70605	960966	22763
13130	60302	70575	1089519	22790
13076	64021	74304	994598	22692
12986	62188	72585	2133485	22729
13020	60939	71392	1148291	22813
13036	63344	73794	1116388	22809
13053	62235	72662	1014611	22826
13026	60935	72321	1091729	23752
29816	81218	91484	992871	39422
13203	60809	70958	1523690	22716
13160	60689	70802	1533986	22640
13159	64628	74897	1077069	22772
13023	61978	72298	963389	22676
13060	60078	70475	1123981	22800
13106	70651	80754	957885	22580
12813	63555	73775	1096562	22395
12949	61571	72228	1467974	22936
12993	60541	70721	1660832	22509
13009	63774	74151	969505	22716
13013	61905	72095	1089209	22572
13023	61011	71338	1115484	22700
13057	60495	70862	1102819	22800
12973	63975	75465	988025	23819
13033	61705	72091	2123529	22789
13016	60755	70961	1044090	22579
13080	62885	73268	1070733	22820
13106	60348	70485	964166	22637
13193	60039	70192	1024381	22736
13109	77017	89774	1013997	24960
13013	63622	73938	1073599	22673
13007	61169	71298	2169098	22476
12976	63168	73374	1229231	22499
13070	60738	71185	970722	22850
14116	62431	72717	1098421	23732
13049	60578	70908	961629	22730
13046	64664	75181	1185166	22903
