initiation_duration_nsec	write_duration_nsec	fsync_duration_nsec
13479	65868	902694
13763	67298	2106384
13470	71035	899658
13623	69058	1064633
13729	73058	887648
12560	68548	884192
12467	67439	879609
13486	65858	879998
13410	65822	878839
13890	56162	1384901
13443	67771	1499124
13592	65948	859388
6783	49795	836933
5453	58698	866392
5193	59052	827267
5367	45036	818144
7513	59551	841649
12896	55735	860169
13443	65148	894848
13509	52068	2135992
12873	69398	1015791
13359	67798	896941
13453	67192	935437
13370	70628	876452
13957	68785	864732
13203	69254	877798
12300	69072	934371
13359	69271	2150335
13870	84108	1165164
13510	71468	933517
12433	68078	858026
12436	70768	896241
13306	69745	884131
13280	69615	894424
13520	65888	923350
13526	67234	2160678
14033	70655	1117788
13526	66828	907894
14039	69904	866572
12519	52641	892118
12357	68188	879955
13530	69352	904908
13497	79791	1001112
13620	73668	2216481
13566	69725	1084273
13389	68554	904744
13803	57078	867095
13473	51345	869705
13569	65971	885298
13550	65528	965009
12667	71168	929864
12456	66524	894051
13466	67968	2096104
12817	73548	934504
13510	72601	896015
13463	69205	897958
13466	65805	872445
13407	88471	926691
13592	66754	2175478
13286	67692	910771
14810	70118	898455
12346	66425	917464
13436	67801	890121
13390	67538	888538
13419	67808	892514
13633	71778	895424
13402	52148	2127456
13409	67791	1041540
13996	71471	991415
13520	67258	908144
13339	65658	881348
12403	64552	899758
13020	69818	888431
13253	67188	1015844
13486	69198	1818885
12853	70998	906271
13496	68792	889185
13397	68845	994329
12320	68815	903401
12500	68215	886732
13337	54575	890025
13490	66208	1383904
13460	67688	1708922
13920	73975	1045994
13530	69508	877265
13480	69865	998875
13489	69221	907441
13676	72365	906878
13456	65558	898554
12353	64508	2124070
12927	70145	897758
13623	67412	887892
13390	67722	886808
13383	68995	945363
13050	69575	890172
13456	67565	884291
13387	67618	884405
12486	68131	2091324
12996	71048	886365
12500	66768	889105
13500	68538	875652
13499	68884	954276
13923	72928	912481
13556	67891	881972
13426	65561	876132
12353	65528	2370009
13866	69831	906798
13592	65938	887704
12426	64575	848992
12297	66575	908871
13460	67865	921251
13500	68045	871902
8040	62205	889901
13416	70168	896771
13953	57345	1109192
13249	68128	1418383
13363	68445	880479
12803	52782	887795
13386	69585	895011
13300	68965	1006165
13326	69451	871138
12353	67361	872585
14297	56162	860629
13430	67908	888972
13530	65705	945656
13526	67734	917810
13980	68898	889648
12243	67778	952943
12412	69544	2037962
13207	71485	887978
13433	72125	875632
13286	69504	880358
13477	66118	869405
13486	66075	925587
13859	70608	887324
12456	65185	928810
12430	64268	889768
13450	65745	2057095
